id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
oq246n,14,26,15,11,4,1,13,2,1,0,0,0,0,0,0,0,0,0
oq1ny2,7,3,7,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0
oq1d0e,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
oq1bvs,13,6,4,0,8,0,7,0,1,1,4,0,0,0,0,1,0,0
oq17sy,8,12,5,2,5,0,4,1,0,0,0,0,0,0,0,0,0,0
oq17dm,5,9,10,2,5,0,2,0,0,0,2,0,0,0,0,0,0,0
oq125z,47,37,6,5,6,0,9,9,1,0,0,0,0,0,0,0,0,0
oqdc78,10,1,4,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0
oqdc4m,24,5,4,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0
oqdbq1,10,3,9,1,8,3,0,1,0,2,0,1,0,0,0,0,0,0
oqd58j,6,8,4,1,16,0,1,0,1,0,0,0,0,0,4,0,0,0
oqd4pw,7,10,5,0,2,0,14,0,3,0,0,0,0,0,0,1,0,0
oqc85i,6,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
oqc6v2,40,13,34,0,25,0,6,3,6,0,0,0,0,0,2,1,0,0
oqc4ul,7,29,5,5,12,0,4,0,2,1,0,0,1,0,0,0,0,0
oqbzyw,18,14,9,2,9,0,2,0,0,0,0,0,0,0,0,1,0,0
oqbk8p,2,5,6,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0
oqb60j,6,6,7,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0
oqapet,12,2,9,0,4,1,2,0,0,0,0,0,0,0,1,4,0,0
oqahvr,9,4,3,0,21,2,0,0,0,0,0,0,0,0,1,0,0,0
oq9w1q,17,5,11,0,17,0,9,1,0,1,0,0,0,0,0,10,1,0
oq92st,8,11,20,2,16,1,2,0,0,2,0,0,0,0,0,0,0,0
oq8yvf,27,20,18,1,31,1,7,0,1,3,0,0,0,1,2,0,0,0
oq8rup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq8rd0,9,21,25,9,7,0,10,3,4,0,0,0,1,0,0,1,0,0
oq8bzb,5,19,10,0,7,1,1,3,2,1,0,4,0,0,0,1,1,0
oq71sa,15,19,20,8,9,1,10,2,6,0,0,0,2,0,2,1,0,0
oq7h1b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq7qf3,14,10,13,2,10,0,3,0,0,0,0,0,0,0,0,4,0,0
oq7o8b,12,9,20,0,16,0,20,1,0,0,0,0,0,0,4,4,0,1
oq7lvn,10,22,27,2,17,3,12,0,3,5,3,4,1,0,0,0,0,0
oqfxh0,36,6,9,0,8,0,8,0,7,1,1,0,0,0,3,0,0,0
oqfwga,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
oqfgjc,5,16,4,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0
oqeztr,10,10,3,4,5,0,4,1,1,0,0,0,0,0,0,0,0,1
oqeyea,13,26,7,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0
oqeopv,3,5,9,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0
oqeinm,4,7,2,0,8,0,4,0,0,0,0,0,0,0,0,2,0,0
oqnr8r,2,11,8,0,2,0,2,0,1,0,0,0,0,0,0,2,0,0
oqnbix,71,12,15,3,8,0,25,0,0,0,0,0,0,0,1,0,0,0
oqf3cr,15,20,17,12,17,0,9,3,2,0,2,1,1,0,0,0,1,0
oqlfkb,7,10,7,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0
oqld5v,3,7,3,3,1,0,2,2,0,0,0,0,1,0,0,1,0,0
oqka5o,1,1,3,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0
oqk3yq,8,14,4,2,26,0,4,0,0,3,0,0,0,0,0,0,0,0
oqk2r2,4,5,9,2,9,0,2,0,1,1,0,0,0,0,1,0,0,0
oqioqs,21,2,8,3,17,0,1,1,3,0,0,0,0,0,0,0,0,0
oqi1th,6,4,3,0,1,2,4,0,0,2,0,3,0,0,0,0,0,0
oqh1jl,55,18,23,0,32,6,17,1,2,12,1,0,1,0,0,0,0,0
oqgv9p,1,5,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0
oqgmb2,3,14,8,6,10,0,4,2,1,0,0,0,0,0,0,0,0,0
oqp4z3,2,2,2,0,6,0,3,0,1,0,0,1,0,0,0,0,1,0
oqtt9i,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
oqtmno,1,2,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0
oqp3sm,2,2,3,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0
oqt137,3,15,11,0,3,0,8,6,0,0,0,0,0,0,1,0,0,0
oqsvjd,12,30,7,1,1,0,9,10,3,0,9,0,0,0,1,0,0,0
oqsrj3,5,1,6,0,5,9,6,0,0,0,0,0,0,0,0,0,0,0
oqs8fm,17,26,40,3,19,0,5,0,1,0,0,2,0,0,1,0,0,0
oqs3ey,5,4,4,4,8,1,0,2,2,0,1,0,0,0,0,0,0,0
oqs12w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqrebh,6,3,7,0,3,0,9,0,1,4,0,2,0,0,2,1,0,0
oqrckr,7,35,37,4,10,0,15,0,6,1,0,0,0,1,0,1,0,0
oqqyxh,7,9,4,6,4,3,2,2,1,1,2,0,1,0,0,0,0,0
oqqvsn,4,7,4,5,0,0,1,1,1,0,3,0,0,0,0,0,0,0
oqqgwb,1,6,5,1,5,0,1,0,0,1,0,4,0,0,0,0,0,0
oqq3sx,16,24,9,25,16,0,2,1,0,0,0,0,0,0,0,0,2,0
oqprsq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqpg3n,1,18,6,1,3,0,7,1,0,2,0,0,2,0,1,0,0,0
oqpbyh,11,9,19,0,27,3,4,0,0,0,2,2,2,0,0,0,0,0
oqotm5,9,11,4,0,2,0,2,1,0,0,3,0,3,0,0,2,0,0
or0fg0,9,1,5,1,3,4,2,0,1,0,0,0,0,0,0,1,0,0
or0a18,8,2,9,0,20,0,1,0,2,0,0,0,1,0,0,0,0,0
oqzzxb,1,7,9,4,3,0,2,0,1,0,0,0,0,0,1,0,0,0
oqzxa4,9,11,15,2,44,0,5,0,1,0,0,2,3,0,0,0,0,0
oqzokn,2,2,14,2,10,1,8,0,1,1,1,0,0,0,2,0,0,0
oqz3te,4,10,15,0,7,0,7,4,0,2,0,1,0,0,2,0,0,0
oqyz77,3,3,27,0,13,0,4,0,6,0,0,0,2,0,0,0,0,0
oqyp0o,11,6,3,1,4,0,13,0,0,2,0,1,0,0,0,4,0,0
oqymj9,17,12,12,1,2,2,13,0,2,0,0,2,0,0,0,2,0,0
oqyjxr,9,7,13,0,10,0,7,0,1,1,0,0,0,0,0,2,0,0
oqxwwy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqxu5g,7,10,11,1,6,3,4,0,1,0,0,0,0,0,0,0,0,0
oqxdtl,30,17,12,0,8,3,0,6,1,0,4,2,0,0,5,0,1,0
oqwwdc,3,22,9,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0
oqwmiv,4,5,8,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0
oqwgt0,7,7,9,5,9,1,8,1,3,0,0,0,2,0,1,0,0,0
oqwa70,36,10,24,1,43,6,18,1,1,1,0,0,3,0,2,5,0,4
oqw7by,5,2,7,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0
oqvye7,20,25,19,4,16,3,10,0,1,3,0,0,0,0,0,5,0,0
oqvo2q,6,3,5,0,6,1,4,8,0,0,0,0,0,0,2,0,0,0
oqvbmg,11,24,18,0,7,0,16,4,1,1,9,3,0,0,1,1,0,0
oqvbdb,20,14,15,7,15,0,7,0,0,1,0,0,2,0,2,1,0,0
oqv4gs,6,28,14,0,4,0,14,4,0,2,2,2,0,0,0,0,0,0
oquwh2,7,6,11,0,4,1,5,1,0,1,1,0,0,0,0,0,0,0
oquflv,6,13,4,3,8,1,0,0,0,0,0,0,0,0,0,1,0,0
or1j1d,14,6,10,0,5,0,5,0,0,0,0,0,0,0,0,1,0,0
or15iv,9,3,13,0,6,1,6,0,0,4,0,0,0,0,0,3,0,0
or0xck,4,5,5,1,6,0,1,0,0,1,0,0,0,0,1,0,0,0
or9w34,2,3,7,0,1,0,4,0,0,5,0,2,1,0,0,0,0,0
or9ma2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
or9a5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
or8wf7,22,42,34,19,23,3,19,5,6,1,0,1,3,0,0,0,0,0
or8w4s,4,5,13,0,26,2,5,1,0,0,0,0,2,0,0,0,0,0
or8fhe,6,3,5,1,7,0,4,0,0,0,0,0,0,0,0,0,0,0
or8ex6,4,9,5,0,5,0,6,2,0,0,0,0,0,0,1,0,0,0
